timestamp,distance_m,linear_x,angular_z,anomaly
1773869385.895,1.3467,0.300,0.000,OK
1773869386.395,1.4262,0.300,0.000,OK
1773869386.895,1.8168,0.300,0.000,OK
1773869387.395,1.8292,0.300,0.000,OK
1773869387.895,2.0262,0.300,0.000,OK
1773869388.395,2.1230,0.300,0.000,OK
1773869388.895,2.1507,0.300,0.000,OK
1773869389.395,2.2646,0.300,0.000,OK
1773869389.895,2.2920,0.300,0.000,OK
1773869390.395,2.3303,0.300,0.000,OK
1773869390.895,2.2513,0.300,0.000,OK
1773869391.395,2.0614,0.300,0.000,OK
1773869391.895,2.0475,0.300,0.000,OK
1773869392.395,1.8613,0.300,0.000,OK
1773869392.895,1.7444,0.300,0.000,OK
1773869393.395,1.6557,0.300,0.000,OK
1773869393.895,1.4729,0.300,0.000,OK
1773869394.395,1.4812,0.300,0.000,OK
1773869394.895,1.2129,0.300,0.000,OK
1773869395.397,1.0816,0.300,0.000,OK
1773869395.895,0.9028,0.300,0.000,OK
1773869396.396,0.7421,0.300,0.000,OK
1773869396.895,0.8300,0.300,0.000,OK
1773869397.398,0.7623,0.300,0.000,OK
1773869397.897,0.6426,0.300,0.000,OK
1773869398.397,0.7349,0.300,0.000,OK
1773869398.896,0.8034,0.300,0.000,OK
1773869399.395,0.7287,0.300,0.000,OK
1773869399.895,0.8977,0.300,0.000,OK
1773869400.395,1.0020,0.300,0.000,OK
1773869400.895,1.1859,0.300,0.000,OK
1773869401.395,1.3223,0.300,0.000,OK
1773869401.896,1.4884,0.300,0.000,OK
1773869402.395,1.6414,0.300,0.000,OK
1773869402.895,1.8229,0.300,0.000,OK
1773869403.395,1.9434,0.300,0.000,OK
1773869403.895,2.0754,0.300,0.000,OK
1773869404.395,2.2712,0.300,0.000,OK
1773869404.895,2.1780,0.300,0.000,OK
1773869405.395,2.2567,0.300,0.000,OK
1773869405.895,2.3109,0.300,0.000,OK
1773869406.395,2.3609,0.300,0.000,OK
1773869406.895,2.2681,0.300,0.000,OK
1773869407.395,2.1390,0.300,0.000,OK
1773869407.895,1.9449,0.300,0.000,OK
1773869408.395,1.8875,0.300,0.000,OK
